Type, Date-Time, Latitude, Longitude
Theft, 2019-1-19 20:24:13, 37.56669488645384, 127.00966935361264
Theft, 2019-12-2 19:33:33, 37.56317069024605, 126.96863362795494
Theft, 2019-4-21 10:26:11, 37.56832041123037, 127.01530482788321
Theft, 2019-6-7 18:15:43, 37.557963793145255, 127.00900396622394
Theft, 2019-7-12 14:31:36, 37.55739527215221, 127.00428069042324
Theft, 2019-4-1 3:13:42, 37.5649951513263, 126.99622525381152
Theft, 2019-4-13 0:56:45, 37.56034670361123, 126.99426121775222
Theft, 2019-4-18 23:18:31, 37.56173193288462, 127.01234607221653
Theft, 2019-4-13 12:19:54, 37.5565329800589, 126.96898046930295
Theft, 2019-10-10 17:26:38, 37.55985063636046, 127.00772010962638
Theft, 2019-6-4 12:17:12, 37.556208879247016, 126.98644940077553
Theft, 2019-3-30 12:41:4, 37.56231308024352, 126.97393397556056
Theft, 2019-3-6 15:43:47, 37.564877926248975, 126.99117118636451
Theft, 2019-12-29 16:40:31, 37.56045600479, 126.98161749152446
Theft, 2019-6-4 17:33:2, 37.560297455299285, 127.01257415858707
Theft, 2019-5-11 2:2:19, 37.56850426127984, 126.96990461431282
Theft, 2019-10-27 7:0:51, 37.56054624775466, 126.9940655364958
Theft, 2019-10-19 3:0:48, 37.56717831231141, 126.98466802255277
Theft, 2019-11-13 9:21:28, 37.565477193121936, 126.97175178747075
Theft, 2019-1-7 2:14:33, 37.55604704810593, 126.9759651533776
Theft, 2019-5-12 8:22:6, 37.555265724094895, 126.98094520820273
Theft, 2019-5-13 6:11:37, 37.55769797152756, 126.98857643200759
Theft, 2019-9-7 12:49:56, 37.55917794821988, 127.01450441850639
Theft, 2019-8-12 16:31:12, 37.56577350517595, 127.00345243837549
Theft, 2019-9-14 12:12:30, 37.56381110472295, 126.99552655306923
Theft, 2019-4-6 12:51:32, 37.55477168605214, 126.97000151745553
Theft, 2019-11-10 11:29:46, 37.564043708487496, 126.97244731524451
Theft, 2019-12-21 4:27:36, 37.564942506352054, 127.01619975093658
Theft, 2019-2-14 7:39:20, 37.557803444613235, 126.9976105801933
Theft, 2019-1-21 3:15:3, 37.558551226778725, 127.00101539196997
Theft, 2019-12-24 6:3:5, 37.564595059258885, 126.96820712489867
Theft, 2019-4-11 12:23:51, 37.56578089166791, 126.98885806015018
Theft, 2019-5-5 16:46:27, 37.563561283454376, 127.00418956020565
Theft, 2019-5-28 11:8:14, 37.56017349711286, 126.969353980822
