0,Morning,110
0,Afternoon,125
0,Evening,123
0,Midnight,118
1,Morning,106
1,Afternoon,129
1,Evening,104
1,Midnight,130
2,Morning,126
2,Afternoon,111
2,Evening,122
2,Midnight,106
3,Morning,109
3,Afternoon,125
3,Evening,126
3,Midnight,119
4,Morning,128
4,Afternoon,126
4,Evening,120
4,Midnight,122
5,Morning,121
5,Afternoon,105
5,Evening,118
5,Midnight,116
6,Morning,111
6,Afternoon,124
6,Evening,127
6,Midnight,112
7,Morning,105
7,Afternoon,111
7,Evening,113
7,Midnight,100
8,Morning,127
8,Afternoon,114
8,Evening,130
8,Midnight,118
9,Morning,101
9,Afternoon,121
9,Evening,121
9,Midnight,128
10,Morning,124
10,Afternoon,128
10,Evening,107
10,Midnight,109
11,Morning,105
11,Afternoon,126
11,Evening,121
11,Midnight,104
12,Morning,104
12,Afternoon,127
12,Evening,123
12,Midnight,106
13,Morning,117
13,Afternoon,114
13,Evening,100
13,Midnight,102
14,Morning,122
14,Afternoon,118
14,Evening,106
14,Midnight,111
15,Morning,119
15,Afternoon,114
15,Evening,116
15,Midnight,115
16,Morning,107
16,Afternoon,114
16,Evening,127
16,Midnight,123
17,Morning,101
17,Afternoon,101
17,Evening,109
17,Midnight,119
18,Morning,124
18,Afternoon,101
18,Evening,104
18,Midnight,117
19,Morning,122
19,Afternoon,107
19,Evening,116
19,Midnight,118
20,Morning,123
20,Afternoon,128
20,Evening,109
20,Midnight,124
21,Morning,117
21,Afternoon,124
21,Evening,104
21,Midnight,109
22,Morning,109
22,Afternoon,115
22,Evening,126
22,Midnight,109
23,Morning,109
23,Afternoon,124
23,Evening,109
23,Midnight,116
24,Morning,121
24,Afternoon,120
24,Evening,104
24,Midnight,130
25,Morning,124
25,Afternoon,129
25,Evening,104
25,Midnight,111
26,Morning,122
26,Afternoon,115
26,Evening,112
26,Midnight,120
27,Morning,116
27,Afternoon,114
27,Evening,108
27,Midnight,109
28,Morning,105
28,Afternoon,116
28,Evening,129
28,Midnight,104
29,Morning,107
29,Afternoon,107
29,Evening,126
29,Midnight,116
30,Morning,101
30,Afternoon,102
30,Evening,110
30,Midnight,112
31,Morning,119
31,Afternoon,124
31,Evening,122
31,Midnight,111
32,Morning,109
32,Afternoon,102
32,Evening,105
32,Midnight,103
33,Morning,122
33,Afternoon,113
33,Evening,110
33,Midnight,119
34,Morning,127
34,Afternoon,103
34,Evening,102
34,Midnight,129
35,Morning,127
35,Afternoon,123
35,Evening,103
35,Midnight,102
36,Morning,124
36,Afternoon,110
36,Evening,100
36,Midnight,123
37,Morning,119
37,Afternoon,123
37,Evening,125
37,Midnight,125
38,Morning,126
38,Afternoon,105
38,Evening,113
