Type,Date-Time,Latitude,Longitude,Grid
절도,2014-9-16 6:1:35,37.56601565,127.0162173,962
절도,2014-6-30 20:57:26,37.5576108,127.0071883,767
절도,2014-7-29 16:34:9,37.55324388,127.0049515,717
폭행,2014-7-24 2:30:22,37.5560564,126.9884199,395
절도,2014-5-28 13:41:42,37.56282627,126.9877592,367
강간,2014-6-24 9:37:23,37.56666234,126.9760806,177
절도,2014-6-4 17:52:27,37.54397045,127.0096612,839
강간,2014-4-9 6:14:23,37.56193081,127.0122132,898
폭행,2014-7-5 11:34:27,37.55882892,127.0218926,1063
절도,2014-6-28 15:11:31,37.55032406,126.9963621,557
절도,2014-1-12 24:25:54,37.56014497,126.9833941,297
절도,2014-6-27 12:48:34,37.5617722,127.0227025,1076
절도,2014-8-8 18:15:25,37.55919494,126.9843576,316
절도,2014-3-14 23:20:6,37.5529773,127.0038337,694
절도,2014-4-5 13:40:15,37.56072875,126.9911273,430
폭행,2014-11-20 16:22:19,37.55872173,127.0087322,795
폭행,2014-5-12 10:18:47,37.56545809,127.0155755,941
절도,2014-12-18 3:14:16,37.56651631,127.0073403,757
폭행,2014-8-9 20:23:58,37.56808267,127.00673,755
강도,2014-11-9 2:1:37,37.5549392,126.9691717,85
절도,2014-3-23 3:40:48,37.55748683,126.9693763,82
강간,2014-6-28 19:1:30,37.54859686,126.9978873,583
절도,2014-3-20 8:58:21,37.55733301,126.9948941,499
폭행,2014-11-25 1:47:4,37.55509951,127.0090539,828
강간,2014-10-31 0:59:4,37.56703452,127.0005086,610
폭행,2014-1-7 15:52:34,37.56798181,127.0167608,980
폭행,2014-12-26 12:57:11,37.55330724,127.0120378,883
폭행,2014-8-22 7:33:18,37.56379076,127.0273528,1106
폭행,2014-11-15 7:54:18,37.55096846,126.9981879,580
절도,2014-1-6 23:44:53,37.56818842,126.9802143,231
절도,2014-4-22 15:53:23,37.56273109,127.0191447,1024
절도,2014-10-19 15:5:3,37.55523696,126.9913677,436
절도,2014-6-17 17:9:56,37.5655334,126.9725516,122
폭행,2014-1-12 17:20:20,37.56506031,126.9978637,565
폭행,2014-8-7 22:29:45,37.56811984,127.0197849,1018
절도,2014-9-20 15:22:37,37.56627946,126.9796268,233
절도,2014-8-16 24:2:46,37.56386892,126.9746349,161
절도,2014-3-24 0:57:43,37.56162689,126.9789959,220
폭행,2014-12-17 22:57:23,37.55716869,126.9965443,550
폭행,2014-7-30 14:35:30,37.56318458,126.9913168,427
절도,2014-10-21 6:55:40,37.546826,126.9953616,536
폭행,2014-11-19 23:15:27,37.56945948,127.0140715,914
폭행,2014-8-14 22:52:50,37.55656268,126.9715447,115
강간,2014-4-24 16:14:37,37.54970777,127.0065904,776
강간,2014-7-3 23:45:33,37.55519567,127.0056106,741
폭행,2014-2-4 18:27:56,37.5507717,127.0013506,651
절도,2014-2-12 10:47:8,37.56567235,127.0024492,657
폭행,2014-11-15 15:22:23,37.56657378,126.968767,56
절도,2014-4-4 17:55:11,37.56537271,127.0221588,1055
절도,2014-1-31 14:23:38,37.55807278,126.9672994,50
강간,2014-12-24 18:34:55,37.5580473,126.9997618,620
절도,2014-5-12 14:58:43,37.56203371,126.9774092,201
폭행,2014-11-21 9:48:12,37.5694967,127.0104556,840
폭행,2014-11-3 21:48:53,37.5557846,126.9920304,456
폭행,2014-8-21 12:7:34,37.56022817,127.0040209,686
폭행,2014-2-4 15:14:11,37.56164925,126.9963112,545
절도,2014-12-13 18:7:16,37.5550285,126.9800855,246
절도,2014-8-27 10:40:41,37.56569008,127.0023816,657
폭행,2014-8-29 6:42:54,37.5601758,127.0073322,764
절도,2014-6-20 17:26:19,37.55538725,126.9863932,357
절도,2014-8-1 2:4:49,37.56770748,126.9860812,343
폭행,2014-7-1 13:28:17,37.55632225,126.9670553,51
절도,2014-4-30 6:51:8,37.56538898,126.9748152,159
폭행,2014-2-16 15:13:20,37.56780159,127.0218356,1053
폭행,2014-4-9 23:56:8,37.55676528,126.9635402,19
폭행,2014-10-18 8:21:57,37.56136617,126.9813517,258
절도,2014-12-10 6:12:22,37.55185929,127.0087821,831
폭행,2014-11-7 1:40:51,37.56746591,126.988414,382
절도,2014-6-27 13:16:39,37.5679775,126.9976686,561
절도,2014-8-8 8:51:50,37.56531211,127.0199228,1021
폭행,2014-9-17 19:40:34,37.56820062,127.0132769,891
폭행,2014-9-22 24:41:48,37.55904642,126.9868318,352
폭행,2014-1-23 24:10:53,37.56014747,126.9868076,351
절도,2014-5-21 15:6:46,37.55419035,127.0006775,624
절도,2014-2-20 16:1:44,37.5598068,126.9905703,431
절도,2014-8-29 11:23:11,37.56070871,127.0125899,900
폭행,2014-4-16 16:42:43,37.55511989,126.9732659,134
절도,2014-5-8 10:35:32,37.56008489,127.0169762,989
폭행,2014-12-26 21:33:38,37.55400857,126.9804436,266
폭행,2014-12-9 15:7:8,37.55540896,127.0045041,714
절도,2014-11-5 15:17:51,37.56313567,127.0079754,790
절도,2014-11-13 7:13:11,37.54954168,127.0120499,887
강간,2014-2-23 9:58:1,37.55519696,127.0039374,692
폭행,2014-1-19 7:5:31,37.55518846,126.982781,303
절도,2014-9-18 21:41:33,37.56876273,127.0018151,631
절도,2014-10-30 18:9:38,37.55561761,126.9745839,151
폭행,2014-5-23 21:14:58,37.56729591,126.9808715,251
절도,2014-9-22 12:10:26,37.56264896,126.9740183,143
폭행,2014-11-28 19:12:6,37.54880979,127.0084479,806
살인,2014-9-11 17:17:37,37.54943424,126.9931468,485
폭행,2014-5-31 1:9:59,37.55944554,127.0042672,710
폭행,2014-1-11 19:28:20,37.56704773,126.9764644,177
절도,2014-10-3 15:4:16,37.56362628,126.984162,311
절도,2014-8-18 11:45:52,37.55541433,126.9636479,20
절도,2014-1-4 23:7:48,37.5589874,127.0011962,642
절도,2014-11-14 21:8:23,37.56677876,127.0087226,786
폭행,2014-12-19 15:29:12,37.55553816,126.9819536,283
강간,2014-4-16 24:10:11,37.5596774,127.0050335,710
절도,2014-12-20 1:45:15,37.56186824,127.0185078,1007
절도,2014-11-13 11:35:14,37.55626619,127.0032864,691
폭행,2014-6-23 4:16:10,37.56403009,127.0207082,1040
절도,2014-4-9 7:58:33,37.56344553,127.0143053,921
폭행,2014-1-29 9:5:35,37.55866975,127.0064342,737
절도,2014-3-22 9:54:9,37.56347345,127.0262467,1103
강도,2014-12-23 15:32:32,37.56175327,126.9927092,449
강간,2014-12-25 5:15:27,37.5564994,126.9992035,598
폭행,2014-9-4 21:49:36,37.55588784,127.003125,691
폭행,2014-4-16 20:17:31,37.57215804,127.0227197,1065
절도,2014-2-12 13:34:7,37.55375779,127.0092873,829
폭행,2014-4-10 12:45:2,37.55311278,127.0031814,694
폭행,2014-4-13 12:22:12,37.56140755,126.9985223,593
폭행,2014-2-28 21:51:24,37.56335408,126.981663,275
절도,2014-3-20 9:11:26,37.55784199,126.9860001,354
절도,2014-12-16 23:59:28,37.55864355,127.004446,711
절도,2014-11-7 21:1:18,37.55120905,127.0072725,774
폭행,2014-8-19 9:39:22,37.56454927,127.0256571,1096
폭행,2014-5-10 16:22:13,37.55434434,126.9936589,480
폭행,2014-11-21 23:45:24,37.56778736,126.9726605,120
절도,2014-5-9 15:51:11,37.56597735,126.9933118,467
절도,2014-9-18 9:33:45,37.5571673,126.9706714,99
절도,2014-6-13 3:14:59,37.56444001,127.0171293,984
폭행,2014-5-5 7:28:2,37.55711242,127.0066456,768
폭행,2014-5-24 3:19:2,37.55998252,126.9895272,410
폭행,2014-2-26 4:33:57,37.55831423,126.9800565,242
폭행,2014-10-7 20:31:34,37.55971555,126.9889,391
폭행,2014-10-6 3:38:39,37.55581544,126.9925709,456
폭행,2014-1-20 19:52:43,37.56267068,126.9951395,518
폭행,2014-1-18 0:43:45,37.56776597,127.0005726,609
폭행,2014-4-25 19:38:29,37.56831483,127.0073067,755
강간,2014-4-7 21:21:25,37.56653719,126.9955903,514
절도,2014-12-21 18:20:20,37.56499739,126.9970885,541
폭행,2014-2-12 21:38:38,37.55550749,126.9879362,375
절도,2014-8-26 20:13:20,37.54999953,127.0048723,721
강간,2014-5-30 5:7:21,37.5656234,127.0142235,918
강간,2014-7-3 9:0:4,37.54794087,127.0072632,778
절도,2014-4-13 12:15:3,37.56208812,127.0010581,638
절도,2014-10-18 6:50:1,37.55554499,126.9708472,100
폭행,2014-5-17 6:37:39,37.57134798,127.0212609,1032
폭행,2014-10-17 17:20:35,37.56157238,126.9761556,183
절도,2014-7-25 5:13:40,37.55306461,127.002887,671
절도,2014-11-24 18:32:39,37.55969375,127.0219935,1062
절도,2014-1-15 22:14:0,37.56930178,126.9988931,584
폭행,2014-2-19 6:56:59,37.55941484,126.9765732,185
절도,2014-7-5 21:59:19,37.55150606,127.0022222,673
폭행,2014-10-28 19:3:35,37.56304244,126.9852108,330
절도,2014-4-14 19:50:48,37.5623264,126.9801498,238
폭행,2014-1-21 24:42:24,37.56719128,126.9742112,138
폭행,2014-9-4 5:52:5,37.56497382,126.9868025,346
폭행,2014-5-23 6:30:31,37.55285211,126.9954632,529
절도,2014-2-12 8:59:43,37.55747182,126.9701399,98
절도,2014-7-5 20:59:7,37.55738421,126.9718407,114
절도,2014-12-4 16:30:20,37.56201738,126.9898312,408
절도,2014-9-5 15:55:23,37.5564195,127.0101885,854
폭행,2014-12-14 1:54:55,37.5679708,126.9907763,421
절도,2014-10-16 19:35:13,37.55823308,127.0025623,665
폭행,2014-12-17 3:7:35,37.56582335,126.9994746,588
절도,2014-11-5 1:0:52,37.55534814,126.9635896,21
폭행,2014-5-20 21:49:40,37.56049546,126.9918305,451
절도,2014-11-3 17:29:29,37.56396908,126.9737037,142
폭행,2014-4-19 15:1:34,37.56040341,126.9820874,278
폭행,2014-6-19 23:28:8,37.5673553,127.0218198,1053
폭행,2014-7-15 15:3:41,37.55536987,126.9841574,321
절도,2014-6-10 17:20:48,37.55709725,126.9754906,169
폭행,2014-8-25 0:33:46,37.55063674,126.991838,462
폭행,2014-1-1 21:50:33,37.56275985,126.9911722,427
절도,2014-2-28 18:26:13,37.55918515,127.0155388,948
폭행,2014-10-11 18:19:0,37.55942217,126.9877977,371
폭행,2014-6-26 1:36:48,37.56677315,127.0171341,982
절도,2014-5-18 18:52:21,37.54727324,126.9948052,511
폭행,2014-4-26 15:16:5,37.5672193,127.0074429,756
폭행,2014-3-13 23:10:21,37.56126868,127.0086723,792
절도,2014-5-19 22:12:24,37.54706555,126.9961752,536
절도,2014-6-2 3:49:12,37.5676932,127.0201177,1019
절도,2014-6-19 12:20:27,37.56178282,127.0050373,707
강간,2014-1-22 19:28:13,37.56232418,126.9730136,126
절도,2014-1-28 9:59:12,37.55704331,127.0050887,713
절도,2014-7-31 14:8:36,37.55340396,126.9964464,554
절도,2014-2-6 21:49:11,37.56156986,126.9850488,332
절도,2014-2-11 3:16:57,37.5542986,127.0003567,624
폭행,2014-9-21 18:40:48,37.55834921,127.0107283,852
폭행,2014-9-8 20:27:1,37.55872005,126.993653,475
폭행,2014-7-15 17:16:38,37.56704283,127.0222747,1054
절도,2014-4-1 19:59:19,37.55034537,127.0130963,911
절도,2014-10-17 16:12:19,37.56102906,127.0248019,1100
절도,2014-4-22 1:9:40,37.56935751,127.0127645,890
절도,2014-3-3 12:47:21,37.56114452,126.9828177,296
절도,2014-7-6 19:26:31,37.56611515,126.9988904,588
절도,2014-10-2 20:40:6,37.55161012,127.0108718,860
폭행,2014-7-9 20:29:54,37.56735514,126.9971946,538
폭행,2014-9-6 5:18:48,37.55947913,127.0148655,948
절도,2014-8-4 0:20:48,37.55671317,126.9975839,574
폭행,2014-7-25 18:40:43,37.56197709,126.9694325,77
폭행,2014-1-11 16:46:59,37.56484494,126.9771666,198
폭행,2014-9-2 3:18:24,37.56149525,126.9907743,429
절도,2014-11-7 10:43:52,37.55655159,127.0069163,768
폭행,2014-11-2 14:34:48,37.56505365,126.9728665,123
폭행,2014-1-31 24:40:55,37.55511085,126.9826334,303
절도,2014-11-4 0:10:22,37.56753983,127.0147501,939
절도,2014-11-2 3:46:7,37.56207081,127.0125157,898
폭행,2014-4-11 4:45:32,37.56258516,126.9769733,200
절도,2014-3-20 13:35:23,37.55292291,127.0007389,625
폭행,2014-9-9 16:7:2,37.55969061,126.9929309,474
폭행,2014-11-28 3:50:39,37.55485134,127.0131158,906
폭행,2014-7-29 23:10:58,37.55577115,126.9666147,40
폭행,2014-12-10 22:52:30,37.56277218,126.9794676,237
폭행,2014-8-5 24:10:5,37.56918149,127.0028831,653
절도,2014-11-15 15:46:12,37.56288881,127.0022569,660
절도,2014-8-21 11:1:41,37.55909215,126.9679061,64
폭행,2014-9-11 9:17:18,37.56183695,127.0014192,638
폭행,2014-2-7 20:15:32,37.55742085,127.0097284,825
폭행,2014-4-7 21:40:27,37.55358472,126.9907905,438
폭행,2014-1-28 21:44:12,37.56267443,126.9696909,76
폭행,2014-9-29 24:14:24,37.55202027,127.0009018,649
폭행,2014-6-6 21:14:50,37.5669443,126.9988401,587
강간,2014-4-7 0:13:47,37.55566453,126.9956941,526
절도,2014-11-21 17:24:57,37.56370758,126.9961407,517
폭행,2014-4-22 24:41:53,37.55304575,126.9857891,341
절도,2014-12-8 12:5:58,37.56466906,127.0122788,895
폭행,2014-10-14 17:13:49,37.56657788,127.0083066,786
절도,2014-6-2 23:16:14,37.56764127,126.9898693,402
폭행,2014-11-8 24:58:58,37.55069761,127.0086196,804
절도,2014-9-19 18:10:51,37.55394005,127.004561,716
절도,2014-6-9 13:15:11,37.5543186,127.0150667,954
폭행,2014-2-3 6:47:9,37.55480881,127.0115065,881
절도,2014-8-7 18:53:38,37.56697555,127.0189502,1002
폭행,2014-9-24 12:3:28,37.56108333,127.0049615,708
절도,2014-5-15 24:29:13,37.55838852,126.9784062,223
폭행,2014-12-7 6:41:2,37.55177608,126.9630947,15
폭행,2014-5-17 15:56:21,37.55579195,127.0055986,740
절도,2014-2-20 18:42:49,37.56836098,127.0149273,938
폭행,2014-5-12 24:2:54,37.56188954,126.9771862,201
절도,2014-4-14 20:8:54,37.55060068,126.9970131,557
절도,2014-4-1 22:22:40,37.55801532,126.9751027,168
폭행,2014-9-25 4:12:38,37.56581785,127.0184763,1003
폭행,2014-8-7 21:22:29,37.5651556,127.022141,1056
폭행,2014-4-14 22:58:11,37.55214016,127.0124354,909
절도,2014-3-11 5:58:58,37.56864632,126.9898541,401
폭행,2014-2-1 22:16:44,37.55021427,127.008459,804
절도,2014-3-21 15:50:32,37.56931892,127.016134,958
폭행,2014-5-1 21:15:32,37.55229489,126.9973663,555
폭행,2014-2-10 14:52:5,37.55309,127.0149248,955
폭행,2014-9-30 24:50:59,37.55252119,126.9905399,419
강간,2014-10-16 17:3:45,37.56356324,127.002798,659
절도,2014-2-15 19:55:24,37.55525367,126.9967034,552
폭행,2014-4-5 6:15:30,37.56708046,127.0000307,609
절도,2014-9-11 13:33:49,37.55033612,127.0098916,833
폭행,2014-10-22 5:53:47,37.55069227,127.00515,720
절도,2014-9-14 16:12:18,37.56319354,126.9695583,76
절도,2014-8-5 16:52:24,37.55514439,126.9812898,265
절도,2014-5-15 6:58:20,37.55962116,127.0069429,765
절도,2014-9-16 22:0:14,37.55913083,126.9620903,0
폭행,2014-7-21 22:19:49,37.56630089,126.9750632,158
