Type,Date-Time,Latitude,Longitude,Grid
절도,2015-7-3 20:56:54,37.56242007,126.9871463,111
폭행,2015-2-24 12:55:47,37.55747543,127.0170839,96
폭행,2015-5-24 22:15:41,37.55727739,127.0185684,99
절도,2015-6-4 16:30:48,37.56170707,127.0078171,1
폭행,2015-2-6 4:6:32,37.54697251,127.0050291,75
절도,2015-10-9 23:51:31,37.54827624,127.0104843,71
절도,2015-12-2 8:39:32,37.54900866,127.0104347,71
절도,2015-10-26 16:10:39,37.54777814,127.011095,66
폭행,2015-12-2 17:57:3,37.56313158,127.0100996,6
절도,2015-12-12 17:29:17,37.5553908,127.0174929,34
폭행,2015-8-9 21:39:6,37.55094943,127.0140334,47
강간,2015-2-9 3:49:5,37.5591487,126.9801633,121
폭행,2015-5-10 3:9:56,37.5533336,127.011307,41
폭행,2015-9-13 11:45:21,37.56203425,127.0108233,5
절도,2015-11-29 0:48:12,37.56167518,127.0091124,3
절도,2015-12-24 3:35:47,37.5460378,127.0086804,80
절도,2015-10-30 21:37:27,37.55936876,126.9788365,117
폭행,2015-5-19 18:55:34,37.55496176,127.0146462,30
폭행,2015-10-20 14:23:39,37.55265797,127.0119912,43
폭행,2015-2-17 15:51:8,37.54411977,127.0082631,83
폭행,2015-8-11 16:12:31,37.55174451,127.0144393,47
절도,2015-7-25 12:7:40,37.55330491,127.0127303,40
절도,2015-7-23 14:53:38,37.56228085,126.9881989,111
폭행,2015-4-27 19:16:44,37.55743952,127.0147108,95
절도,2015-10-30 11:21:19,37.54567599,127.0095037,73
절도,2015-2-26 21:49:43,37.55618571,127.0121924,22
절도,2015-3-27 15:12:12,37.56334344,126.9872176,110
폭행,2015-5-31 16:55:36,37.56446222,126.9955844,114
절도,2015-3-7 11:43:13,37.54706362,127.009848,72
절도,2015-7-3 13:0:23,37.54636904,127.0050966,76
절도,2015-12-1 7:32:34,37.564043,127.0078973,103
폭행,2015-8-20 23:43:39,37.55146796,127.0147565,49
폭행,2015-5-13 1:10:0,37.54957673,127.0111035,61
폭행,2015-6-14 2:9:10,37.56345761,127.0099653,6
폭행,2015-9-21 20:7:33,37.55515569,127.0175046,34
폭행,2015-1-30 15:10:15,37.54593313,127.0065832,79
절도,2015-2-26 21:2:38,37.56302453,126.9872402,110
폭행,2015-4-30 11:39:24,37.55508418,127.0113525,24
절도,2015-8-17 15:1:7,37.55094092,127.0105495,55
절도,2015-10-11 15:37:8,37.56215963,127.0079011,1
폭행,2015-6-26 3:58:28,37.55637382,127.0186194,15
절도,2015-5-17 16:25:54,37.55211639,127.0126195,45
폭행,2015-7-10 16:55:37,37.55833581,126.9783118,120
절도,2015-6-16 24:34:53,37.54985664,127.0096569,59
절도,2015-5-13 21:24:49,37.55588609,127.0179297,17
절도,2015-6-19 20:3:2,37.55789263,127.0185604,99
절도,2015-10-18 8:26:33,37.54965795,127.0143365,63
절도,2015-12-21 18:16:47,37.55223326,127.0112832,43
폭행,2015-2-9 19:29:11,37.55081298,127.0092201,58
폭행,2015-10-12 3:57:6,37.56252449,126.9881777,111
폭행,2015-10-24 14:2:53,37.54577786,127.0063841,74
절도,2015-5-11 15:20:8,37.55593714,127.0124409,22
절도,2015-10-11 23:32:50,37.55614772,127.016557,19
폭행,2015-10-10 22:21:38,37.55799074,126.9796496,118
폭행,2015-7-23 15:45:4,37.5481126,127.0099322,67
절도,2015-3-5 11:3:50,37.5588068,126.9798276,119
폭행,2015-10-14 18:10:51,37.55366423,127.0150224,31
절도,2015-2-22 19:34:36,37.54383848,127.0080904,83
절도,2015-8-12 5:25:50,37.54747225,127.0106284,67
절도,2015-7-17 7:47:47,37.55128036,127.0108015,55
절도,2015-3-17 16:44:36,37.56314877,127.0100756,6
절도,2015-7-16 24:11:34,37.55464793,127.0150574,30
폭행,2015-9-24 1:55:23,37.54938232,127.0122246,62
절도,2015-6-24 9:55:17,37.55854113,126.9783323,120
폭행,2015-3-12 22:25:36,37.55277901,127.01368,39
폭행,2015-10-10 19:47:32,37.5542083,127.0164359,32
폭행,2015-9-14 15:37:21,37.55172726,127.0110976,42
절도,2015-2-1 6:33:55,37.54736142,127.00557,89
폭행,2015-2-1 16:10:33,37.56285923,127.0087204,8
폭행,2015-5-2 14:56:10,37.55606776,127.0134861,21
폭행,2015-6-10 22:7:34,37.55050994,127.0105983,54
절도,2015-2-26 21:46:0,37.54925205,127.0117773,61
강도,2015-3-7 1:50:17,37.55239458,127.0109033,56
절도,2015-4-14 4:51:23,37.55135379,127.0103105,55
절도,2015-3-6 21:37:54,37.56306499,126.9880399,110
절도,2015-8-29 6:51:27,37.56427248,127.009088,102
폭행,2015-6-15 16:9:42,37.55959938,126.9791187,117
폭행,2015-7-18 16:15:32,37.55787169,127.0207475,100
