0,107
1,113
2,103
3,108
4,130
5,111
6,131
7,106
8,115
9,114
10,147
11,134
12,138
13,142
14,117
15,147
16,124
17,112
18,112
19,145
20,116
21,121
22,123
23,106
24,142
25,114
26,104
27,117
28,122
29,104
30,113
31,129
32,109
33,128
34,130
35,133
36,133
37,118
38,103
39,110
40,147
41,150
42,105
43,104
44,111
45,137
46,121
47,148
48,108
49,101
50,118
51,107
52,106
53,109
54,115
55,119
56,132
57,127
58,146
59,147
60,114
61,111
62,126
63,119
64,146
65,142
66,103
67,112
68,144
69,104
70,130
71,131
72,132
73,142
74,149
75,102
76,108
77,137
78,111
79,111
80,149
81,137
82,142
83,139
84,110
85,118
86,146
87,110
88,140
89,112
90,139
91,104
92,119
93,133
94,118
95,133
96,122
97,120
98,102
99,132
100,128
101,124
102,136
103,120
104,137
105,134
106,126
107,106
108,129
109,104
110,122
111,138
112,150
113,109
114,116
115,141
116,105
117,101
118,118
119,147
120,131
121,105
122,121
123,107
124,142
125,115
126,122
127,112
128,111
129,105
130,134
131,107
132,105
133,145
134,140
135,144
136,122
137,115
138,113
139,147
140,122
141,122
142,148
143,105
144,104
145,132
146,141
147,139
148,118
149,123
150,111
151,127
152,127
153,114
154,140
155,126
156,104
157,119
158,120
159,125
160,126
161,104
162,146
163,113
164,113
165,132
166,123
167,103
168,128
169,126
170,134
171,129
172,150
173,125
174,133
175,124
176,117
177,123
178,125
179,126
180,141
181,115
182,113
183,106
184,132
185,110
186,133
187,142
188,112
189,130
190,112
191,110
192,140
193,108
194,101
195,133
196,109
197,126
198,110
199,131
200,143
201,118
202,138
203,137
204,137
205,125
206,128
207,110
208,107
209,120
210,131
211,116
212,130
213,140
214,115
215,111
216,133
217,136
218,104
219,125
220,144
221,121
222,134
223,126
224,103
225,112
226,141
227,101
228,112
229,148
230,129
231,139
232,149
233,110
234,108
235,123
236,129
237,103
238,101
239,135
240,119
241,105
242,139
243,139
244,108
245,121
246,113
247,132
248,118
249,123
250,123
251,135
252,101
253,123
254,142
255,129
256,141
257,130
258,108
259,128
260,131
261,147
262,112
263,147
264,134
265,105
266,105
267,107
268,108
269,140
270,126
271,128
272,105
273,118
274,100
275,105
276,136
277,112
278,124
279,134
280,121
281,147
282,130
283,117
284,101
285,101
286,109
287,110
288,146
289,148
290,132
291,107
292,106
293,122
294,138
295,119
296,124
297,108
298,120
299,126
300,106
301,118
302,107
303,101
304,120
305,104
306,132
307,144
308,100
309,129
310,136
311,141
312,145
313,120
314,105
315,102
316,144
317,106
318,139
319,145
320,117
321,148
322,130
323,126
