Assault,2019-04-29 03:00:00,37.56478646,127.0013674,635
Assault,2019-12-24 02:00:00,37.55473689,127.0083468,799
Theft,2019-04-12 16:00:00,37.56661978,127.0190807,1020
Theft,2019-10-02 09:00:00,37.55331751,126.9854109,341
Theft,2019-10-21 19:00:00,37.56488499,126.9908293,425
Theft,2019-11-15 15:00:00,37.55793185,126.9694898,82
Theft,2019-07-25 10:00:00,37.55092219,126.9945324,507
Assault,2019-01-18 05:00:00,37.57151541,127.0236827,1083
Rape,2019-01-30 17:00:00,37.56324294,127.023897,1092
Assault,2019-08-10 22:00:00,37.56754513,127.0173993,981
Rape,2019-11-19 12:00:00,37.56410724,127.0097806,818
Theft,2019-12-30 02:00:00,37.56244273,126.9973589,544
Assault,2019-05-23 00:00:00,37.55730824,126.9903278,413
Theft,2019-12-01 00:00:00,37.5575591,127.0094105,825
Assault,2019-07-11 08:00:00,37.56754521,126.9887976,382
Theft,2019-10-19 20:00:00,37.56654454,126.9806768,252
Theft,2019-07-27 00:00:00,37.55915777,126.9896723,411
Theft,2019-06-08 05:00:00,37.55522843,126.968088,69
Assault,2019-06-18 01:00:00,37.56476423,126.9952734,516
Theft,2019-09-03 19:00:00,37.56714652,126.9892902,382
Theft,2019-08-18 11:00:00,37.5695104,127.0094042,812
Theft,2019-01-07 09:00:00,37.55822153,126.9682063,65
Theft,2019-10-26 14:00:00,37.56097518,126.9941366,495
Theft,2019-04-05 13:00:00,37.5578192,126.9914495,433
Assault,2019-09-02 23:00:00,37.56443726,126.9672861,45
Theft,2019-05-26 12:00:00,37.56014293,127.0029502,663
Theft,2019-05-31 14:00:00,37.56366215,127.0145573,943
Assault,2019-11-19 15:00:00,37.56583408,126.994786,490
Assault,2019-07-10 01:00:00,37.56126869,126.9811514,258
Theft,2019-06-20 18:00:00,37.55738278,126.9755224,168
Assault,2019-09-18 21:00:00,37.56138362,126.9662294,34
Assault,2019-01-02 02:00:00,37.55512107,126.9955017,527
Rape,2019-09-12 20:00:00,37.54375227,127.0061756,753
Theft,2019-06-18 14:00:00,37.55078879,127.0100051,861
Assault,2019-05-14 22:00:00,37.55725927,127.0030663,666
Theft,2019-08-31 12:00:00,37.56826078,127.0019346,654
Theft,2019-11-07 02:00:00,37.56755923,126.9847428,307
